identifiant_station,nom_station,station_en_fonctionnement,capacité_de_la_station,nombre_bornettes_libres,nombre_total_vélos_disponibles,vélos_mécaniques_disponibles,vélos_électriques_disponibles,borne_de_paiement_disponible,retour_vélib_possible,actualisation_de_la_donnée,coordonnées_géographiques,commune,code_postal
8045,Place de la Reine Astrid,True,58,8,45,29,16,True,True,2025-06-03 14:57:27+02:00,"48.864920982538, 2.3025491823859",Paris,75056
15109,Cevennes - Bergers,True,29,12,17,8,9,True,True,2025-06-03 14:56:35+02:00,"48.84240765130395, 2.281037718057633",Paris,75056
20131,Repos - Cimetière du Père Lachaise,True,33,33,0,0,0,True,True,2025-06-03 14:54:44+02:00,"48.859358523593, 2.3896131366845",Paris,75056
19103,Manin - Carrières d'Amérique,True,20,14,3,1,2,True,True,2025-06-03 14:56:14+02:00,"48.884672142095, 2.3919698596001",Paris,75056
14124,David Weill - Parc Montsouris,True,22,20,1,0,1,True,True,2025-06-03 14:57:53+02:00,"48.821092374256104, 2.333725690841675",Paris,75056
5028,Censier - Jardin des Plantes,True,28,10,17,11,6,True,True,2025-06-03 14:57:08+02:00,"48.84107178161383, 2.355475388467312",Paris,75056
15133,Saint Lambert - Blomet,True,27,22,5,4,1,True,True,2025-06-03 14:58:02+02:00,"48.83659148147257, 2.2930556908249855",Paris,75056
15110,Place Robert Guillemard,True,24,1,23,20,3,True,True,2025-06-03 14:57:43+02:00,"48.836191728066666, 2.2811267160086417",Paris,75056
1119,Cossonnerie - Sébastopol,True,24,2,21,14,7,True,True,2025-06-03 14:57:10+02:00,"48.86132665908402, 2.349419631063938",Paris,75056
20115,Louis Lumière - Porte de Bagnolet,True,20,18,1,1,0,True,True,2025-06-03 14:52:50+02:00,"48.86431136000005, 2.4105210229754443",Paris,75056
9116,Victoire - Chaussée d'Antin,True,24,11,12,11,1,True,True,2025-06-03 14:58:11+02:00,"48.875065791004396, 2.3316738009452824",Paris,75056
